127.0.0.1 - - [09/Sep/2017:14:28:04 -0700] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [09/Sep/2017:14:28:15 -0700] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 6441
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 3079
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/css/font-awesome.css HTTP/1.1" 200 32318
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/css/cloud-zoom.css HTTP/1.1" 200 595
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/css/bootstrap.css HTTP/1.1" 200 146010
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/js/bootstrap.js HTTP/1.1" 200 69707
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/js/jquery-3.2.0.js HTTP/1.1" 200 267686
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/logo.png HTTP/1.1" 200 39010
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/1.jpg HTTP/1.1" 200 52225
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/js/CustomJS.js HTTP/1.1" 200 175
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/2.jpg HTTP/1.1" 200 50785
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/3.jpg HTTP/1.1" 200 60447
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/5.jpg HTTP/1.1" 200 40618
127.0.0.1 - - [09/Sep/2017:14:28:16 -0700] "GET /ShoppingCartFrontEnd/resources/images/4.jpg HTTP/1.1" 200 59072
127.0.0.1 - - [09/Sep/2017:14:28:17 -0700] "GET /ShoppingCartFrontEnd/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
127.0.0.1 - - [09/Sep/2017:14:28:17 -0700] "GET /ShoppingCartFrontEnd/resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 6441
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/css/bootstrap.css HTTP/1.1" 200 146010
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 3079
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/css/font-awesome.css HTTP/1.1" 200 32318
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/css/cloud-zoom.css HTTP/1.1" 200 595
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/js/jquery-3.2.0.js HTTP/1.1" 200 267686
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/js/bootstrap.js HTTP/1.1" 200 69707
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/js/CustomJS.js HTTP/1.1" 200 175
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/1.jpg HTTP/1.1" 404 992
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/logo.png HTTP/1.1" 200 39010
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/2.jpg HTTP/1.1" 404 992
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/3.jpg HTTP/1.1" 404 992
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/4.jpg HTTP/1.1" 404 992
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/images/5.jpg HTTP/1.1" 404 992
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
127.0.0.1 - - [09/Sep/2017:14:28:57 -0700] "GET /ShoppingCartFrontEnd/resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
127.0.0.1 - - [09/Sep/2017:14:30:02 -0700] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 6446
